customer_id,email,signup_date,customer_type,lifetime_value
1,alice@example.com,2024-01-10,Enterprise,1250.5
2,bob@example.com,2024-02-15,SMB,450.0
3,carol@example.com,2024-03-20,Enterprise,2100.75
4,david@example.com,2024-04-05,Startup,325.25
5,emma@example.com,2024-05-12,SMB,780.0
6,frank@example.com,2024-06-18,Enterprise,1800.0
7,grace@example.com,2024-07-22,Startup,560.5
8,henry@example.com,2024-08-30,SMB,920.25
9,irene@example.com,2024-09-14,Enterprise,2400.0
10,jack@example.com,2024-10-01,Startup,410.75
